esn,event_date,event_type,current_shop_visit_count,shop_visit,org_key_column,engine_family,source_type,event_date_prev,event_date_next,tk_egthdm_bfr,tk_egthdm_aft,tk_egthdm_det_rate_prev,tk_egthdm_det_rate_next,tk_egthdm_det_rate_init,tk_egthdm_prev,tk_egthdm_next,tk_egthdm_rec,tk_egthdm_delta_prev,flight_dttm,rdf_sedi_ecsn,rdf_sedi_ecsv,engine_type,aircraft_id,engine_position,fleet,flight_dttm_next,ecsw,ecne,esn_run_no,customer,operator_name,engine_model,zone,region,country,tk_egthdm_init,tk_egthdm_delta_init,tk_egthdm_aft_delta_init,tk_egthdm_delta_next,tk_egthdm_adj_summation,tk_egthdm_adj_summation_prev,tk_egthdm_adj_summation_next,tk_egthdm_adj_summation_next_2,tk_egthdm_delta_init_adj,tk_egthdm_delta_prev_adj,tk_egthdm_aft_delta_init_adj,tk_egthdm_delta_next_adj,tk_egthdm_aft_delta_rate_prev_adj,tk_egthdm_aft_delta_rate_init_adj,tk_egthdm_delta_rate_next_adj,tk_egthdm_delta_rate_prev,tk_egthdm_delta_rate_init,tk_egthdm_delta_rate_next,tk_egthdm_rec_ratio_prev,tk_egthdm_rec_ratio_init,tk_egthdm_ret,category_count,shift_cause_flag,shift_cause,install_date,quality_check_all
804705,2011-01-19,INSTALL,0,TRUE,,CFM56,ENG_UTIL,,2011-09-08,,43.3017,,-40.41446,,,71.97885,,,,,,,,,,2019-12-31,,,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,,0,28.67715,0,,0,0,,,0,28.67715073,,,,,,,,,,,,,2011-01-19,Invalid
804705,2011-09-08,WW,0,FALSE,846407,CFM56,FDM,2011-01-19,2011-12-08,71.97885,58.13405,-40.41446,-11.995697,-40.41446,43.3017,62.7203,13.844803,28.67715,2011-09-08,915,915.2024,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,,606,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,28.67715,14.832348,4.5862503,0,0,0,0,28.67715073,28.67715073,14.83234787,4.586250305,,31.33421714,7.568069811,,31.33422,7.56807,0.48278,0.48278,1154.147427,WW1,0,WW,2011-01-19,Invalid
804705,2011-12-08,WW,0,FALSE,846411,CFM56,FDM,2011-09-08,2012-03-04,62.7203,59.6413,-11.995697,-21.265863,-8.984422,58.13405,64.4174,3.0789986,4.5862503,2011-12-08,1521,1521.5656,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,606,574,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,19.418598,16.3396,4.7760963,0,0,0,0,19.41859818,4.586250305,16.33959961,4.776096344,7.568069811,12.76224842,8.320725338,7.56807,12.76225,8.32073,0.67135,0.15856,144.7859654,WW2,0,WW,2011-01-19,Invalid
804705,2012-03-04,WW,0,FALSE,846415,CFM56,FDM,2011-12-08,2012-06-04,64.4174,52.4134,-21.265863,-14.07993,-2.1283634,59.6413,64.05415,12.003998,4.7760963,2012-03-04,2095,2095.952,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,574,598,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,21.115696,9.111698,11.640755,0,0,0,0,21.11569595,4.776096344,9.111698151,11.6407547,8.320725338,10.07451313,19.46614498,8.32073,10.07451,19.46614,2.51335,0.56849,852.5608822,WW3,0,WW,2011-01-19,Invalid
804705,2012-06-04,WW,0,FALSE,846419,CFM56,FDM,2012-03-04,2012-08-26,64.05415,46.24835,-14.07993,-35.3774,-0.008766606,52.4134,61.83255,17.805805,11.640755,2012-06-04,2693,2693.7195,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,598,515,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,20.752453,2.9466476,15.584202,0,0,0,0,20.75245285,11.6407547,2.946647644,15.58420181,19.46614498,7.704014041,30.26058604,19.46614,7.70401,30.26059,1.52961,0.85801,503.3101778,WW4,0,WW,2011-01-19,Invalid
804705,2012-08-26,WW,0,FALSE,846423,CFM56,FDM,2012-06-04,2012-12-31,61.83255,50.46979,-35.3774,-22.311756,-1.7345841,46.24835,58.4658,11.362759,15.584202,2012-08-26,3208,3208.8192,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,515,837,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,18.53085,7.168091,7.99601,0,0,0,0,18.53084946,15.58420181,7.16809082,7.996009827,30.26058604,5.774974625,9.55317781,30.26059,5.77497,9.55318,0.72912,0.61318,509.2722674,WW5,0,WW,2011-01-19,Invalid
804705,2012-12-31,WW,0,FALSE,846427,CFM56,FDM,2012-08-26,2013-01-19,58.4658,61.528584,-22.311756,12.05612,-3.3924024,50.46979,58.999065,-3.0627823,7.99601,2012-12-31,4045,4045.6574,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,837,124,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,15.164101,18.226883,-2.5295181,0,0,0,0,15.16410065,7.996009827,18.22688293,-2.529518127,9.55317781,3.748241422,-20.39933974,9.55318,3.74824,-20.39934,-0.38304,-0.20198,254.0437809,WW6,0,WW,2011-01-19,Invalid
804705,2013-01-19,WW,0,FALSE,944215,CFM56,FDM,2012-12-31,2013-05-21,58.999065,49.820286,12.05612,-7.9386516,-2.9465976,61.528584,58.18782,9.17878,-2.5295181,2013-01-19,4169,4169.5639,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,124,683,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,15.697365,6.518585,8.367535,0,0,0,0,15.69736481,-2.529518127,6.518585205,8.367534637,-20.39933974,3.764749788,12.25114881,-20.39934,3.76475,12.25115,-3.62867,0.58473,1156.21394,WW7,0,WW,2011-01-19,Invalid
804705,2013-05-21,WW,0,FALSE,846431,CFM56,FDM,2013-01-19,2013-07-31,58.18782,51.97905,-7.9386516,-20.609629,-2.9382877,49.820286,57.404396,6.2087708,8.367535,2013-05-21,4852,4852.8072,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,683,443,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,14.88612,8.677349,5.4253464,0,0,0,0,14.88611984,8.367534637,8.677349091,5.425346375,12.25114881,3.067527563,12.24683155,12.25115,3.06753,12.24683,0.74201,0.41708,301.255828,WW8,0,WW,2011-01-19,Invalid
804705,2013-07-31,WW,0,FALSE,197181,CFM56,RDO,2013-05-21,2013-08-14,57.404396,43.01275,-20.609629,,-2.4160578,51.97905,51.14255,14.391647,5.4253464,2013-07-31,5295,5295.0444,CFM56-7B26/3,LHQ,1,LNI,2019-12-31,443,97,1,LNI,LION MENTARI AIRLINES,CFM56-7B,INC,CSO - ASIA,INDONESIA,43.3017,14.102695,-0.28895187,8.129803,0,0,0,0,14.10269547,5.425346375,-0.288951874,8.129802704,12.24683155,2.663376244,83.81239901,12.24683,2.66338,83.8124,2.65267,1.02049,,WW9,0,WW,2011-01-19,Invalid
